cycle: 0; no_of_treeA: 5; no_of_treeB: 4
cycle: 1; no_of_treeA: 10; no_of_treeB: 9
cycle: 2; no_of_treeA: 20; no_of_treeB: 14
cycle: 3; no_of_treeA: 32; no_of_treeB: 20
cycle: 4; no_of_treeA: 50; no_of_treeB: 28
cycle: 5; no_of_treeA: 70; no_of_treeB: 41
cycle: 6; no_of_treeA: 89; no_of_treeB: 54
cycle: 7; no_of_treeA: 115; no_of_treeB: 68
cycle: 8; no_of_treeA: 143; no_of_treeB: 82
cycle: 9; no_of_treeA: 179; no_of_treeB: 101
cycle: 10; no_of_treeA: 217; no_of_treeB: 120
cycle: 11; no_of_treeA: 257; no_of_treeB: 143
cycle: 12; no_of_treeA: 301; no_of_treeB: 164
cycle: 13; no_of_treeA: 346; no_of_treeB: 186
cycle: 14; no_of_treeA: 395; no_of_treeB: 213
cycle: 15; no_of_treeA: 448; no_of_treeB: 242
cycle: 16; no_of_treeA: 510; no_of_treeB: 274
cycle: 17; no_of_treeA: 574; no_of_treeB: 304
cycle: 18; no_of_treeA: 645; no_of_treeB: 339
cycle: 19; no_of_treeA: 711; no_of_treeB: 370
cycle: 20; no_of_treeA: 777; no_of_treeB: 404
cycle: 21; no_of_treeA: 844; no_of_treeB: 441
cycle: 22; no_of_treeA: 913; no_of_treeB: 484
cycle: 23; no_of_treeA: 982; no_of_treeB: 534
cycle: 24; no_of_treeA: 1055; no_of_treeB: 574
cycle: 25; no_of_treeA: 1130; no_of_treeB: 619
cycle: 26; no_of_treeA: 1208; no_of_treeB: 672
cycle: 27; no_of_treeA: 1284; no_of_treeB: 720
cycle: 28; no_of_treeA: 1364; no_of_treeB: 772
cycle: 29; no_of_treeA: 1443; no_of_treeB: 824
cycle: 30; no_of_treeA: 1529; no_of_treeB: 885
cycle: 31; no_of_treeA: 1614; no_of_treeB: 944
cycle: 32; no_of_treeA: 1696; no_of_treeB: 1008
cycle: 33; no_of_treeA: 1787; no_of_treeB: 1074
cycle: 34; no_of_treeA: 1888; no_of_treeB: 1132
cycle: 35; no_of_treeA: 1980; no_of_treeB: 1196
cycle: 36; no_of_treeA: 2077; no_of_treeB: 1261
cycle: 37; no_of_treeA: 2177; no_of_treeB: 1327
cycle: 38; no_of_treeA: 2282; no_of_treeB: 1394
cycle: 39; no_of_treeA: 2385; no_of_treeB: 1462
cycle: 40; no_of_treeA: 2482; no_of_treeB: 1538
cycle: 41; no_of_treeA: 2591; no_of_treeB: 1618
cycle: 42; no_of_treeA: 2699; no_of_treeB: 1700
cycle: 43; no_of_treeA: 2806; no_of_treeB: 1779
cycle: 44; no_of_treeA: 2914; no_of_treeB: 1859
cycle: 45; no_of_treeA: 3024; no_of_treeB: 1944
cycle: 46; no_of_treeA: 3134; no_of_treeB: 2034
cycle: 47; no_of_treeA: 3241; no_of_treeB: 2120
cycle: 48; no_of_treeA: 3361; no_of_treeB: 2211
cycle: 49; no_of_treeA: 3479; no_of_treeB: 2307
cycle: 50; no_of_treeA: 3589; no_of_treeB: 2398
cycle: 51; no_of_treeA: 3708; no_of_treeB: 2490
cycle: 52; no_of_treeA: 3819; no_of_treeB: 2583
cycle: 53; no_of_treeA: 3931; no_of_treeB: 2674
cycle: 54; no_of_treeA: 4028; no_of_treeB: 2761
cycle: 55; no_of_treeA: 4120; no_of_treeB: 2842
cycle: 56; no_of_treeA: 4212; no_of_treeB: 2918
cycle: 57; no_of_treeA: 4300; no_of_treeB: 2992
cycle: 58; no_of_treeA: 4390; no_of_treeB: 3067
cycle: 59; no_of_treeA: 4477; no_of_treeB: 3143
cycle: 60; no_of_treeA: 4565; no_of_treeB: 3224
cycle: 61; no_of_treeA: 4644; no_of_treeB: 3294
cycle: 62; no_of_treeA: 4725; no_of_treeB: 3367
cycle: 63; no_of_treeA: 4804; no_of_treeB: 3437
cycle: 64; no_of_treeA: 4868; no_of_treeB: 3503
cycle: 65; no_of_treeA: 4933; no_of_treeB: 3566
cycle: 66; no_of_treeA: 5000; no_of_treeB: 3628
cycle: 67; no_of_treeA: 5060; no_of_treeB: 3687
cycle: 68; no_of_treeA: 5108; no_of_treeB: 3739
cycle: 69; no_of_treeA: 5159; no_of_treeB: 3789
cycle: 70; no_of_treeA: 5203; no_of_treeB: 3835
cycle: 71; no_of_treeA: 5240; no_of_treeB: 3875
